Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,130000,0.014789298,14.789297999999999,8.666699,,15000,0.0017064575,17.064574999999998,,,0,0,0,0,0,0,130000,0.014789298,14.789297999999999,111000,0.012627785,12.627785000000001,,,,,,,4000,0.00045505533,0.45505533,12.641339,34.633805133114,25.466034,0.41764295,0.071304895
,Afghanistan,1962,8969055,115000,0.012821863,12.821862999999999,7.6667,,15000,0.001672417,16.72417,,,0,0,0,0,0,0,115000,0.012821863,12.821862999999999,97000,0.010814963,10.814963,,,,,,,3000,0.0003344834,0.3344834,10.763622,29.489375047572,22.424213,0.35674885,0.061156943
,Afghanistan,1963,9157463,122000,0.013322467,13.322467,8.1333,,15000,0.0016380083,16.380083,,,0,0,0,0,0,0,122000,0.013322467,13.322467,103000,0.011247656,11.247656,,,,,,,4000,0.0004368022,0.4368022,11.280461,30.905372293686003,23.458462,0.36717594,0.06119599
,Afghanistan,1964,9355510,129000,0.013788666,13.788666,8.599999,,15000,0.0016033333,16.033333000000002,,,0,0,0,0,0,0,129000,0.013788666,13.788666,110000,0.011757777,11.757777,,,,,,,4000,0.00042755553,0.42755552999999996,11.776202,32.263566800652,24.491236,0.3877779,0.06122809
,Afghanistan,1965,9565154,132000,0.013800091,13.800091,8.8,,15000,0.0015681923,15.681923000000001,,,0,0,0,0,0,0,132000,0.013800091,13.800091,113000,0.011813715,11.813715,,,,,,,4000,0.0004181846,0.41818459999999996,11.821942,32.388881867892,24.501434,0.3879394,0.061253585
,Afghanistan,1966,9783153,136000,0.013901449,13.901449,9.0667,,15000,0.001533248,15.33248,,,0,0,0,0,0,0,136000,0.013901449,13.901449,117000,0.011959335,11.959335,,,,,,,4000,0.00040886615,0.40886615000000004,11.947375,32.73253391925,24.507437,0.3880344,0.06126859
,Afghanistan,1967,10010037,147000,0.01468526,14.68526,9.8,,15000,0.0014984959,14.984959,,,0,0,0,0,0,0,147000,0.01468526,14.68526,128000,0.012787165,12.787165,,,,,,,4000,0.0003995989,0.39959890000000003,12.744264,34.915791431664,26.55055,0.41868177,0.071482256
,Afghanistan,1968,10247782,150000,0.014637314,14.637314,10,,15000,0.0014637314,14.637314,,,0,0,0,0,0,0,150000,0.014637314,14.637314,130000,0.012685671,12.685671000000001,,,,,,,5000,0.00048791047,0.48791047,12.725326,34.863906500676,26.553648,0.41873062,0.07149059
,Afghanistan,1969,10494491,154000,0.0146743655,14.6743655,10.1987,,15100,0.0014388502,14.388502,,,0,0,0,0,0,0,154000,0.0146743655,14.6743655,134000,0.012768604,12.768604,,,,,,,5000,0.00047644044,0.47644043999999997,12.799771,35.067865402746,26.580994,0.41916183,0.07156421
,Afghanistan,1970,10752973,144000,0.013391646,13.391646,9.5364,,15100,0.0014042628,14.042627999999999,,,0,0,0,0,0,0,144000,0.013391646,13.391646,125000,0.011624692,11.624692000000001,,,,,,,4000,0.00037199014,0.37199013999999997,11.596897,31.772320230222,23.5626,0.37905052,0.06146765
