Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,2279000,0.25926778,259.26778,1.022,,2230000,0.25369334,2536.9334,,,32000,0.0036404426,3.6404426,,,,2311000,0.26290822,262.90822000000003,1928000,0.21933666,219.33666,,,,,,,185000,0.021046309,21.046309,219.28293,600.77514467718,1719.4666,46.388927,5.6229
,Afghanistan,1962,8969055,2279000,0.25409588,254.09588,0.97349995,,2341000,0.26100853,2610.0853,,,7000,0.00078046124,0.78046124,,,,2286000,0.25487635,254.87634999999997,1904000,0.21228546,212.28546,,,,,,,183000,0.020403488,20.403488,212.27574,581.57736404724,1664.4882,44.909584,5.4429684
,Afghanistan,1963,9157463,1947000,0.21261348,212.61347999999998,0.83169997,,2341000,0.25563848,2556.3848,,,80000,0.008736044,8.736044,,,,2027000,0.22134952,221.34951999999998,1666000,0.18192811,181.92811,,,,,,,162000,0.017690489,17.690489,181.90508,498.37007720808003,1426.8865,38.48208,4.6610947
,Afghanistan,1964,9355510,2230000,0.23836221,238.36221,0.951,,2345000,0.25065443,2506.5443,,,106000,0.011330222,11.330222,,,,2336000,0.24969243,249.69243,1950000,0.20843332,208.43332,,,,,,,187000,0.01998822,19.988220000000002,208.40001,570.95892579726,1634.79,44.09443,5.347253
,Afghanistan,1965,9565154,2282000,0.23857431,238.57431000000003,0.9723,,2347000,0.2453698,2453.698,,,109000,0.01139553,11.395529999999999,,,,2391000,0.24996984,249.96984,2001000,0.20919684,209.19684,,,,,,,191000,0.019968314,19.968314,209.16058,573.0426792010801,1640.5753,44.255714,5.3596888
,Afghanistan,1966,9783153,2033000,0.20780621,207.80621,0.8666,,2346000,0.23979999,2397.9999,,,120000,0.012265984,12.265984000000001,,,,2153000,0.2200722,220.0722,1808000,0.1848075,184.8075,,,,,,,172000,0.017581245,17.581245,184.84735,506.43109082610005,1450.0233,39.109783,4.7381043
,Afghanistan,1967,10010037,2280000,0.22777139,227.77139,1.1231999,,2030000,0.20279646,2027.9646,,,140000,0.013985963,13.985963,,,,2420000,0.24175735,241.75735,2053000,0.20509414,205.09414,,,,,,,194000,0.019380547,19.380547,205.13365,562.0099943799,1608.3507,43.39994,5.259052
,Afghanistan,1968,10247782,2354000,0.22970824,229.70824000000002,1.1561999,,2036000,0.19867714,1986.7714,,,60000,0.0058549256,5.8549256,,,,2414000,0.23556317,235.56316999999999,2045000,0.19955538,199.55538,,,,,,,193000,0.018833343,18.833343,199.57109,546.7701041213401,1565.6439,42.220303,5.116684
,Afghanistan,1969,10494491,2454000,0.23383698,233.83698,1.1855,,2070000,0.19724634,1972.4633999999999,,,88000,0.008385352,8.385352000000001,,,,2542000,0.24222232,242.22232,2154000,0.20525055,205.25055,,,,,,,203000,0.019343482,19.343481999999998,205.21548,562.23418615848,1609.1725,43.419033,5.2650814
,Afghanistan,1970,10752973,2081000,0.19352788,193.52788,0.95629996,,2176000,0.20236264,2023.6264,,,106000,0.009857739,9.857739,,,,2187000,0.2033856,203.3856,1819000,0.16916251,169.16251,,,,,,,169000,0.015716584,15.716584,169.14873,463.42117344798004,1326.6768,35.78442,4.3334694
