Year,Burundi Maize Production in tons,Central African Republic Maize Production in tons,Syria Maize Production in tons,Madagascar Maize Production in tons,Democratic Republic of Congo Maize Production in tons,Niger Maize Production in tons,Gambia Maize Production in tons,Sudan Maize Production in tons,Rwanda Maize Production in tons,Uganda Maize Production in tons
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,95000.0,40000.0,9886.0,116920.0,370000.0,2194.0,457.0,,28434.0,196000.0
1962,92900.0,30000.0,6600.0,102700.0,360000.0,2350.0,417.0,,68744.0,190000.0
1963,91900.0,30000.0,7600.0,108300.0,350000.0,2232.0,406.0,,7700.0,200000.0
1964,109200.0,28000.0,6300.0,133480.0,350000.0,4014.0,550.0,,21311.0,220000.0
1965,107900.0,32000.0,5672.0,122555.0,350000.0,2711.0,550.0,,43998.0,270000.0
1966,109740.0,36000.0,7518.0,140895.0,390000.0,2203.0,1000.0,,48900.0,273000.0
1967,115600.0,40000.0,8900.0,145515.0,410000.0,2631.0,2300.0,,53200.0,230000.0
1968,120000.0,50000.0,7737.0,140890.0,425000.0,1800.0,2300.0,,42800.0,341884.0
1969,125000.0,47156.0,8639.0,142985.0,430000.0,1540.0,2700.0,,41300.0,446011.0
1970,130000.0,42188.0,7785.0,108825.0,428100.0,1560.0,3100.0,,64062.0,388000.0
1971,132860.0,43397.0,8465.0,113490.0,435800.0,1920.0,4500.0,,56388.0,421000.0
1972,119574.0,44400.0,14985.0,105805.0,451500.0,2275.0,5300.0,,49917.0,500000.0
1973,135782.0,45600.0,15430.0,107870.0,459100.0,2562.0,5100.0,,54755.0,419000.0
1974,108626.0,45754.0,19220.0,118010.0,476800.0,3697.0,4800.0,,63696.0,430000.0
1975,137140.0,41000.0,26752.0,119675.0,495400.0,3700.0,4800.0,,67457.0,570000.0
1976,138200.0,42000.0,50943.0,136045.0,503600.0,11900.0,4500.0,,70627.0,674000.0
1977,140000.0,33000.0,58651.0,121965.0,509600.0,5600.0,7000.0,,77166.0,566000.0
1978,160000.0,39353.0,56191.0,114645.0,499900.0,8700.0,9500.0,,75635.0,594000.0
1979,135400.0,33703.0,33734.0,116440.0,582400.0,9487.0,6600.0,,83348.0,453000.0
1980,140000.0,40857.0,48146.0,127570.0,594000.0,10000.0,6300.0,,85059.0,286000.0
1981,146000.0,46073.0,46150.0,120665.0,636700.0,11000.0,12500.0,,84800.0,342000.0
1982,144000.0,48200.0,49529.0,113000.0,666250.0,7282.0,17000.0,,91956.0,393000.0
1983,148000.0,39676.0,26779.0,132100.0,673068.0,6524.0,8500.0,,110300.0,413000.0
1984,139000.0,42100.0,59900.0,141000.0,703954.0,3316.0,12500.0,,101900.0,338000.0
1985,157000.0,45592.0,78800.0,140200.0,760000.0,2716.0,26350.0,,99452.0,354000.0
1986,164000.0,94189.0,74200.0,152890.0,800000.0,6171.0,17300.0,,89590.0,322000.0
1987,168300.0,65993.0,56900.0,158100.0,850000.0,7778.0,15440.0,,90665.0,357000.0
1988,172000.0,69993.0,90278.0,156400.0,900000.0,4895.0,15520.0,,135000.0,440000.0
1989,169200.0,61699.0,108700.0,160475.0,960000.0,2573.0,14144.0,,95000.0,623585.0
1990,167900.0,51100.0,180000.0,155000.0,1008000.0,1758.0,13630.0,,101000.0,602000.0
1991,172200.0,57640.0,225000.0,145000.0,1022620.0,1292.0,20420.0,,104000.0,567000.0
1992,176300.0,58947.0,215000.0,130000.0,1053260.0,4000.0,18265.0,,98000.0,657000.0
1993,172100.0,58030.0,200005.0,165000.0,1130190.0,2000.0,23772.0,,87000.0,804000.0
1994,122758.0,62672.0,203200.0,155000.0,1184430.0,2000.0,13315.0,,67000.0,850000.0
1995,153021.0,70818.0,199000.0,177000.0,1007577.0,2000.0,13633.0,,56000.0,913000.0
1996,144462.0,75800.0,250000.0,180000.0,1101130.0,3625.0,10021.0,,66595.0,759000.0
1997,144991.0,82600.0,303260.0,178000.0,1167307.0,1167.0,8466.0,,83427.0,740000.0
1998,131830.0,88000.0,285009.0,152000.0,1215339.0,8160.0,13011.0,,58618.0,924000.0
1999,128706.0,95000.0,181000.0,175000.0,1199000.0,1592.0,20400.0,,54912.0,1053000.0
2000,117840.0,100700.0,190504.0,169800.0,1184000.0,3784.0,22000.0,,62501.0,1096000.0
2001,124395.0,107000.0,215663.0,179550.0,1169188.0,2325.0,28988.0,,80979.0,1174000.0
2002,126799.0,113000.0,231888.0,171950.0,1154570.0,2907.0,18580.0,,91686.0,1217000.0
2003,120575.0,119000.0,226680.0,317860.0,1154800.0,2216.0,33353.0,,78886.0,1300000.0
2004,123199.0,125000.0,210166.0,349646.0,1155030.0,3970.0,29209.0,,88209.0,1080000.0
2005,125666.0,131000.0,187200.0,391000.0,1155260.0,979.0,29002.0,,97251.0,1237000.0
2006,116825.0,131000.0,158930.0,405344.0,1155490.0,19085.0,27750.0,,96662.0,1258029.0
2007,115507.0,139776.0,177036.0,416767.0,1155720.0,19324.0,31408.0,,101659.0,1261803.0
2008,117681.0,146765.0,281300.0,430334.0,1155950.0,6409.0,44894.0,,166853.0,2314909.0
2009,120379.0,151168.0,183255.0,425204.0,1156180.0,1389.0,54625.0,,286946.0,2354664.0
2010,126412.0,150000.0,133100.0,411914.0,1782273.0,9756.0,66000.0,,432404.0,2373501.0
2011,128483.0,160000.0,298368.0,428390.0,1892657.0,6983.0,23613.0,,525679.0,2551000.0
2012,140536.0,161500.0,257684.0,447948.0,1938044.0,15844.0,30106.0,51000.0,573038.0,2734000.0
2013,162417.0,123888.0,109145.0,380848.0,1986099.0,17813.0,33060.0,43000.0,667833.0,2748000.0
2014,127829.0,79595.0,67080.0,366172.0,2015345.0,56597.0,30289.0,48000.0,583096.0,2868000.0
2015,160713.0,80455.0,177118.0,329367.0,2039009.0,35387.0,36000.0,48000.0,370140.0,2812919.0
2016,243740.0,92355.0,157452.0,316331.0,2100806.0,38022.0,31000.0,50000.0,374267.0,2482795.0
2017,228355.0,90000.0,91853.0,281487.0,2186318.0,38345.0,21000.0,17000.0,358417.0,2814490.0
