Year,Burundi Milk Production in tons,Central African Republic Milk Production in tons,Syria Milk Production in tons,Madagascar Milk Production in tons,Democratic Republic of Congo Milk Production in tons,Niger Milk Production in tons,Gambia Milk Production in tons,Sudan Milk Production in tons,Rwanda Milk Production in tons,Uganda Milk Production in tons
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,30910.0,3425.0,342000.0,294000.0,5600.0,201400.0,2625.0,,23060.0,208950.0
1962,31520.0,3434.0,380000.0,310000.0,5400.0,208000.0,2811.0,,21744.0,195370.0
1963,31780.0,3527.0,538782.0,312000.0,5200.0,214800.0,3185.0,,23360.0,200095.0
1964,34160.0,3655.0,539352.0,313000.0,5000.0,222800.0,3290.0,,23510.0,200025.0
1965,36970.0,3825.0,598000.0,324000.0,4300.0,230600.0,3413.0,,23619.0,201950.0
1966,37800.0,3893.0,605135.0,354000.0,4500.0,245000.0,3500.0,,25308.0,201950.0
1967,39550.0,5610.0,518824.0,357000.0,4600.0,252700.0,3628.0,,27052.0,209440.0
1968,40530.0,6120.0,547817.0,360000.0,4700.0,258500.0,3872.0,,27432.0,212660.0
1969,48240.0,6426.0,523157.0,353000.0,4800.0,274400.0,4072.0,,29296.0,229320.0
1970,46570.0,6936.0,450055.0,355000.0,4900.0,299560.0,4352.0,,35250.0,247205.0
1971,48890.0,7344.0,441413.0,328000.0,5000.0,284925.0,4550.0,,31612.0,243915.0
1972,52570.0,7854.0,458377.0,337000.0,5200.0,250660.0,4725.0,,29576.0,258300.0
1973,54660.0,8364.0,393467.0,347000.0,5300.0,209350.0,4813.0,,33036.0,267295.0
1974,55490.0,8772.0,499820.0,359000.0,5500.0,247180.0,4900.0,,30784.0,275660.0
1975,57170.0,8925.0,566756.0,370000.0,5600.0,275495.0,4988.0,,28342.0,282171.0
1976,56760.0,10710.0,664703.0,375000.0,5800.0,301060.0,5040.0,,38200.0,282689.0
1977,56990.0,11900.0,646415.0,386000.0,5900.0,311410.0,5075.0,,49000.0,285124.0
1978,57120.0,13744.0,792204.0,427000.0,5200.0,321660.0,5093.0,,59180.0,380776.0
1979,58650.0,21840.0,838850.0,430000.0,6000.0,333920.0,5110.0,,59760.0,366940.0
1980,49820.0,23660.0,907732.0,440000.0,6200.0,343460.0,5128.0,,78260.0,333900.0
1981,41130.0,24280.0,1097410.0,450000.0,6240.0,348830.0,5163.0,,76480.0,332150.0
1982,41430.0,27300.0,1132210.0,454000.0,6370.0,365800.0,5198.0,,83100.0,337400.0
1983,40740.0,35910.0,1161071.0,460000.0,6495.0,421250.0,5250.0,,79720.0,340900.0
1984,41290.0,35860.0,1006122.0,465000.0,6600.0,305250.0,4900.0,,76640.0,349650.0
1985,37790.0,37400.0,1115507.0,450000.0,6650.0,238520.0,5075.0,,88764.0,350000.0
1986,45310.0,38940.0,1107897.0,460000.0,6850.0,252020.0,5250.0,,100432.0,364000.0
1987,41410.0,41811.0,1108150.0,466000.0,7100.0,269160.0,5425.0,,97838.0,341950.0
1988,42100.0,43176.0,1316981.0,470000.0,7300.0,291080.0,5600.0,,95872.0,372750.0
1989,41850.0,44828.0,1276718.0,475000.0,7600.0,303800.0,5775.0,,98517.0,386400.0
1990,43970.0,46502.0,1331373.0,477000.0,7800.0,423856.0,5950.0,,96628.0,429800.0
1991,62928.0,48000.0,1370255.0,480000.0,8100.0,399474.0,56503.0,,125030.0,606412.0
1992,64867.0,56575.0,1350817.0,490000.0,8000.0,459941.0,56650.0,,126571.0,616156.0
1993,65396.0,49100.0,1243831.0,495000.0,7300.0,479300.0,57213.0,,122951.0,634215.0
1994,59636.0,50000.0,1226697.0,500000.0,6700.0,499599.0,57637.0,,117363.0,605346.0
1995,54779.0,57150.0,1414020.0,510000.0,6800.0,525087.0,58062.0,,110854.0,619046.0
1996,51551.0,58075.0,1508417.0,515000.0,6200.0,543214.0,58486.0,,124374.0,626590.0
1997,49347.0,60000.0,1610060.0,520000.0,5800.0,566635.0,58911.0,,123190.0,632814.0
1998,52442.0,59854.0,1780166.0,525000.0,5300.0,591208.0,59475.0,,128380.0,663961.0
1999,45460.0,62000.0,1656085.0,530000.0,5200.0,617007.0,59900.0,,144118.0,683683.0
2000,41149.0,63300.0,1673204.0,535000.0,6369.0,644058.0,60325.0,,146425.0,685956.0
2001,38825.0,63000.0,1577780.0,480000.0,6246.0,672465.0,62280.0,,161785.0,703463.0
2002,40197.0,65000.0,1766909.0,475000.0,5000.0,702286.0,63679.0,,154934.0,918658.0
2003,39969.0,65500.0,1875754.0,470000.0,6108.0,733601.0,65774.0,,159506.0,1208163.0
2004,39427.0,66000.0,2128394.0,490000.0,6105.0,766484.0,67814.0,,180234.0,1274077.0
2005,40133.0,66500.0,2357530.0,510000.0,6103.0,801021.0,68158.0,,182005.0,1317804.0
2006,46388.0,68000.0,2534885.0,520000.0,6100.0,837330.0,68668.0,,214488.0,1338688.0
2007,57157.0,73300.0,2679598.0,530000.0,6097.0,875916.0,69012.0,,222935.0,1380208.0
2008,61092.0,71000.0,2424678.0,549000.0,6095.0,915651.0,69857.0,,222211.0,1421641.0
2009,63829.0,72000.0,2409287.0,555000.0,6092.0,957913.0,71885.0,,224372.0,1462993.0
2010,70766.0,75000.0,2242308.0,555000.0,7500.0,967820.0,70304.0,,252906.0,1377000.0
2011,84272.0,77000.0,2558369.0,560000.0,8000.0,967677.0,74204.0,,254076.0,1418000.0
2012,72604.0,80000.0,2452249.0,570000.0,9000.0,1012713.0,74911.0,4318000.0,255892.0,1460000.0
2013,82043.0,82500.0,2363525.0,575000.0,9500.0,976304.0,74921.0,4358000.0,269363.0,1504000.0
2014,103781.0,77366.0,2311133.0,539142.0,9800.0,1009300.0,77235.0,4391000.0,225970.0,1550000.0
2015,102633.0,78447.0,2143660.0,543272.0,7184.0,1196784.0,78852.0,4452000.0,255250.0,1596000.0
2016,127947.0,79575.0,2110856.0,544423.0,7343.0,1253407.0,74343.0,4507000.0,239297.0,1634000.0
