Year,Burundi Wheat Production in tons,Central African Republic Wheat Production in tons,Syria Wheat Production in tons,Madagascar Wheat Production in tons,Democratic Republic of Congo Wheat Production in tons,Niger Wheat Production in tons,Gambia Wheat Production in tons,Sudan Wheat Production in tons,Rwanda Wheat Production in tons,Uganda Wheat Production in tons
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,4000.0,,757000.0,,2127.0,1000.0,,,1200.0,
1962,6500.0,,1374175.0,,2970.0,1126.0,,,1385.0,
1963,7400.0,,1189585.0,,2892.0,817.0,,,1744.0,
1964,7400.0,,1100000.0,,3084.0,930.0,,,321.0,
1965,8200.0,,1044000.0,,3000.0,507.0,,,480.0,
1966,8230.0,,559000.0,,3300.0,681.0,,,100.0,885.0
1967,8400.0,,1049000.0,,3956.0,372.0,,,300.0,1329.0
1968,9800.0,,600000.0,,2806.0,400.0,,,621.0,5000.0
1969,4387.0,,1003517.0,,3420.0,213.0,,,810.0,5000.0
1970,5000.0,,624562.0,,3256.0,390.0,,,1251.0,7920.0
1971,5110.0,,846276.0,,2000.0,290.0,,,1235.0,7000.0
1972,4599.0,,1808000.0,,1655.0,370.0,,,2298.0,6900.0
1973,5122.0,,593462.0,,1324.0,772.0,,,2380.0,6900.0
1974,4098.0,,1629896.0,,3400.0,1650.0,,,2793.0,8000.0
1975,5173.0,,1550061.0,,3500.0,1800.0,,,2303.0,14000.0
1976,5600.0,,1790109.0,260.0,3600.0,1000.0,,,3008.0,12000.0
1977,6000.0,,1217214.0,483.0,3500.0,1900.0,,,3692.0,13000.0
1978,2742.0,,1650696.0,420.0,3600.0,2062.0,,,3657.0,13900.0
1979,4600.0,,1319959.0,147.0,2900.0,980.0,,,2976.0,5000.0
1980,5600.0,,2225800.0,323.0,3100.0,1000.0,,,2175.0,17000.0
1981,7000.0,,2086953.0,300.0,3100.0,1700.0,,,1042.0,8000.0
1982,6000.0,,1556441.0,300.0,3200.0,2200.0,,,2370.0,10000.0
1983,6000.0,,1611988.0,300.0,3400.0,2500.0,,,3300.0,12000.0
1984,8000.0,,1067600.0,300.0,3400.0,8330.0,,,3070.0,7000.0
1985,8000.0,,1713866.0,300.0,3400.0,6900.0,,,5000.0,8000.0
1986,8000.0,,1969000.0,563.0,8260.0,8000.0,,,5504.0,8333.0
1987,8200.0,,1656350.0,337.0,6510.0,6000.0,,,6740.0,10000.0
1988,8300.0,,2067138.0,1000.0,6590.0,2000.0,,,8100.0,13000.0
1989,8300.0,,1020000.0,3000.0,6670.0,2400.0,,,10400.0,10761.0
1990,8600.0,,2070000.0,5000.0,6750.0,13000.0,,,11000.0,4000.0
1991,8800.0,,2140000.0,9000.0,6830.0,10400.0,,,14800.0,9000.0
1992,8900.0,,3046000.0,10000.0,9230.0,8400.0,,,12600.0,8800.0
1993,8700.0,,3626491.0,8000.0,9730.0,4400.0,,,4800.0,9000.0
1994,7942.0,,3702985.0,4000.0,10250.0,7200.0,,,3200.0,9000.0
1995,8928.0,,4184144.0,14000.0,10818.0,3100.0,,,6000.0,9000.0
1996,9054.0,,4080357.0,4000.0,10255.0,1700.0,,,6814.0,9000.0
1997,9739.0,,3031090.0,5000.0,10342.0,600.0,,,5997.0,9000.0
1998,9778.0,,4111625.0,10000.0,10443.0,12500.0,,,4140.0,9000.0
1999,7085.0,,2691504.0,10000.0,9900.0,12669.0,,,3607.0,11000.0
2000,6097.0,,3105489.0,9000.0,9385.0,10946.0,,,6444.0,12000.0
2001,8667.0,,4744623.0,10000.0,8897.0,6300.0,,,8269.0,14000.0
2002,8290.0,,4775440.0,10000.0,8440.0,3500.0,,,7434.0,14000.0
2003,8092.0,,4912993.0,8815.0,8490.0,3500.0,,,15305.0,15000.0
2004,7493.0,,4537459.0,8833.0,8540.0,6239.0,,,16772.0,15000.0
2005,7756.0,,4668750.0,10060.0,8590.0,9000.0,,,21942.0,15000.0
2006,8007.0,,4932000.0,10000.0,8640.0,7796.0,,,19549.0,18000.0
2007,7987.0,,4041100.0,11000.0,8690.0,7000.0,,,24633.0,19000.0
2008,8094.0,,2139300.0,10000.0,8740.0,8775.0,,,6700.0,19000.0
2009,8583.0,,3701784.0,8813.0,8790.0,6180.0,,,7200.0,20000.0
2010,9034.0,,3083100.0,8694.0,8841.0,5165.0,,,8500.0,20000.0
2011,9787.0,,3858331.0,10000.0,8841.0,1291.0,,,9000.0,23000.0
2012,4196.0,,3609096.0,10000.0,9292.0,3114.0,,324000.0,15000.0,20000.0
2013,6423.0,,3182111.0,5000.0,9602.0,5666.0,,265000.0,7800.0,20000.0
2014,5628.0,,2024332.0,5000.0,10000.0,1802.0,,473000.0,7886.0,22076.0
2015,6656.0,,2677156.0,5000.0,9500.0,8090.0,,778600.0,7995.0,22078.0
2016,7980.0,,1626588.0,5000.0,11000.0,8234.0,,516000.0,9923.0,22100.0
2017,8060.0,,1850740.0,5000.0,10000.0,6003.0,,463000.0,10926.0,22100.0
2018,22751.0,,1222988.0,5000.0,11500.0,4807.0,,702000.0,13475.0,23206.0
2019,4894.0,,3085097.0,5000.0,9997.0,4920.0,,726000.0,15686.0,24000.0
2020,8610.0,,2848472.0,1000.0,9000.0,4276.0,,750821.0,12811.0,25000.0
2021,,,,,,,,,,
